Likes,Comments,Views
3407,672,135612
76779,4306,1758063
63825,3338,1564007
71566,1426,922918
96513,5155,1855644
33570,1643,943119
135047,9367,5937790
216935,12605,4782514
45565,2882,7001236
24252,1068,667767
118001,4123,2359142
20999,3091,413179
15322,547,389114
17866,157,444953
13217,442,371563
26890,4999,1633059
9562,199,760249
11743,143,1086568
146978,11105,3186890
363771,13609,11422924
2117,486,63650
42841,1357,1280387
23689,2842,530889
55231,2175,2122433
1289,183,35948
970,207,23175
1608,273,78520
1452,38,63599
35758,2056,1006704
8725,790,257848
110145,3289,2954979
12188,326,304037
59458,4159,1541386
3494,136,589007
36423,1902,1085076
941,221,25594
134194,6102,4098623
42075,1820,7188648
709,128,25745
78852,3926,1889567
32102,3243,786765
188623,7464,4195072
343227,20854,9618335
43960,1767,791624
77411,2098,2474364
24,45,3461
4492,169,274201
51846,2371,1156785
1029,2347,97434
534,538,57858
8526,3934,544884
588,887,69951
137,222,18531
848,1384,86855
827,1653,131012
1200,2841,54596
1167,180,235019
1573,2670,60528
1145,793,106127
474,1553,75301
82,26,17145
23828,47,500097
775,1517,127082
8484,2192,237313
7946,1559,905023
510,560,34715
129,7,10642
1288,3,172513
257,1,62189
612,18,60835
2385,1349,288722
6379,4853,808787
1009,451,127803
5630,1848,533947
686,18,56683
7277,1294,796750
695,121,159877
15854,5373,1465011
1030,10,187892
198,12,17763
7342,1531,932432
286,22,23135
2083,2195,164119
1728,665,212973
180,16,13976
1102,668,106690
1688,796,89985
8384,1307,176151
63825,3338,1564007
4163,618,133933
2925,121,99244
298406,15609,3773387
549,29,16307
2170,282,126228
1365,256,46436
3516,306,121644
2481,429,67444
2501,193,84565
82449,2673,2007038
1243,21,5967
48710,3417,552256
29966,471,205943
15842,1547,530763
3374,741,82874
8260,195,191777
1525,36,14877
468,164,10351
18208,44,228095
3171,5,19693
1204,135,27564
10556,466,66633
869,155,22860
13492,707,879645
358,23,2386
2677,485,65005
39872,187,246407
46642,1287,268946
674,93,5931
3495,202,226258
789,77,19223
3273,472,31837
4484,459,97946
2700,279,70186
238193,14706,7132206
71905,6315,2381931
9574,537,87891
1215,100,64958
11797,519,364725
2750,116,208701
563,85,14537
39944,1677,5093587
19987,2358,1335282
275577,5431,15040548
62969,9809,4288833
12785,489,1945140
778342,20737,57369066
56480,2515,12272628
23668,2290,1499121
102369,10191,16099483
60821,2638,12867358
355223,6889,11181957
7866,550,619006
84728,1451,10909239
6920,640,665643
22479,299,2020370
6568,591,592998
127971,3938,20647398
11805,1116,961317
601464,23466,27922929
241605,6650,31518906
39999,6387,5683239
33316,1335,7795119
14899,637,1836457
25347,385,9444655
11898,1330,901368
1096,178,106597
6325,391,573655
867074,43024,106014469
6946,481,647117
51562,8289,4282206
31796,555,6134948
46,6,2219
149084,3901,4820297
191,35,27378
38,1,4114
32772,4597,1194578
2584,57,1051751
15,1,867
132236,3715,15110047
3991,820,269716
2192,144,230945
54006,3508,2699810
14293,2114,577426
1121,91,65057
1941,401,83228
15872,156,4290144
2807,194,203084
22288,451,11666184
10119,664,891548
135155,11354,2361410
14408,864,275924
315980,6186,13176819
44809,660,1341953
22532,198,443909
295514,5266,8378324
1165120,40435,44943014
136929,3323,5249373
2048,193,58330
169217,2295,7370713
56460,2118,3745331
78076,1822,2947659
28603,1300,855958
910553,81975,52061447
49642,1589,3750968
338470,9618,14322764
46638,2210,1902823
80596,2415,1606273
554,60,15329
723998,14759,31858250
665269,25869,36467409
70465,17616,10097646
600,55,10671
32092,181,425850
347137,7750,13590001
150521,5653,4584546
6773,595,111581
515,184,11848
29551,1213,513997
262633,5960,47276202
99816,4641,8620346
46254,669,2144508
31042,899,698519
45027,1140,5578536
207617,8534,4382539
8227,314,153395
55233,5097,742272
2992,246,110066
4852,218,76373
26024,1165,662992
12124,1188,638770
61089,2899,2943450
62375,2417,1687552
21286,731,705942
421608,17009,5992730
63,20,3311
339758,32718,29905105
866,48,42948
1706185,25334,208293677
385847,4381,54244089
79281,1683,9090985
24029,422,1820413
9178,111,933111
21367,467,2822656
43643,1336,5750667
6028,697,533712
229141,7461,28325416
253,2,6389
25934,424,1102647
114,2,2270
13038,470,368017
3232,580,188875
46519,1064,2228510
1483,122,45872
-1,1144,676300
27189,622,1273223
14477,1661,580096
57308,2303,859569
441,496,26499
17327,965,561921
489,240,14263
216891,11046,2018720
29443,1408,1218268
65748,1269,5351715
295,9,15582
36376,1876,875957
52363,2102,984168
49949,5045,2464907
5015,1830,520371
1090,485,45006
13852,516,776034
134,16,2786
22569,859,384275
2063,662,37352
539,23,23819
32152,393,589907
13126,600,746236
-1,13,12332
2667,303,42274
5006,157,82844
19993,1870,1851336
667,305,11649
146358,3790,7989628
3440,769,108903
187,29,4073
22861,977,1437698
25630,1741,1435374
158935,8326,6100867
74485,1569,4435209
80368,2008,3368446
170234,7686,7367727
30518,486,879609
45040,1451,1632584
1341,72,19323
5180,129,190491
195700,7321,7569833
73498,3270,4984442
235659,11732,9769103
10669,1149,223700
8433,882,151493
63857,1655,1564431
838345,50531,28574258
880208,42227,35771194
981522,122371,68512549
114246,3748,4416622
143191,3883,7549484
216934,4192,5656681
205557,4239,7783157
132845,3878,7975584
74900,1841,1454316
76010,788,7906241
18780,514,679453
4315,203,83902
23977,1964,925547
4985,576,191830
44083,3332,870453
63543,2634,1642556
12050,697,793228
101457,955,1684678
18184,601,622551
47823,2897,3335591
93094,1136,26355125
12502,1115,203851
121477,2653,3218250
41409,1025,1253037
29065,2375,1592794
97091,2989,2417577
869059,12196,21485819
10595,826,345071
190593,5568,11034311
57526,1115,1204024
407460,40969,11745320
186142,5329,5646817
375997,2031,7009241
702681,15608,7892369
8851,287,525488
113,32,5110
954,81,13991
40,14,2783
765,319,100366
59,23,7093
13,21,1485
346,65,29751
16,3,83121
1834,500,39296
44,6,2597
66,13,3882
36,40,6709
124,72,7816
53635,1650,6224649
29,2,2285
213398,13619,9450554
17269,903,1366364
68,40,7325
96,45,12456
14,3,1195
490,185,32926
4590,1035,255706
69,2,3534
39868,1068,2797148
83,32,8862
51,36,4384
19621,7087,890196
37925,3545,1213867
24181,4776,608005
29610,1473,637152
1692,268,93564
2236,595,118523
4894,201,196484
57,13,2548
319,180,29180
19352,597,1344472
404,30,22593
40534,1851,1257676
1289,1852,189066
2713,115,46082
34468,4428,390348
5595,641,77109
1720,272,20600
230,95,2201
27738,2355,474368
12829,802,192740
3405,171,57692
1908,199,23786
3400,170,45779
212,429,6443
1700,60,21012
90,138,7050
765,463,9585
2645,102,35571
827,568,8502
626,49,7989
2015,239,18216
3179,184,43235
431,154,4247
1992,216,25115
1450,238,15689
1462,83,25316
1324,249,30328
2719,168,48051
182663,6456,6366422
476,280,6160
66,105,1616
105,51,1599
1493,69,23035
3638,314,39409
408,45,7771
257,27,2742
3091,200,52909
3916,158,30871
357,101,10554
92,55,2546
2258,125,28047
2539,314,36410
95151,3859,11805668
4303,360,46495
2379,177,31510
757,35,9099
310,114,4723
629,202,8867
705,627,7516
1021,634,11448
1606,183,27258
418,71,5034
1987,181,25648
2072,156,79265
111085,18963,10963984
32280,2947,2570601
511551,25520,49429306
15064,1245,1669884
23205,1028,235294
9760,879,380649
2025653,8188,58590655
233724,8895,10608521
339759,32717,29905105
11069,298,156011
275,14,21114
46684,1770,1962673
11943,1582,838788
20909,2455,1782074
110517,493,1847672
36738,967,2458686
19054,1926,900960
228332,689,6329576
39281,2003,2372539
867676,8428,16209382
50788,1455,5281537
428683,2964,12964069
129552,4612,13278916
9432,510,738726
634419,7981,6170029
79852,2601,6149318
60991,278,1134047
82390,1772,10106841
636440,16875,39581966
309903,995,7308863
837671,5178,23535618
51599,6817,4795109
205854,338,4543326
94707,81,2036446
308847,1487,5884330
367266,1001,10125075
752667,6382,50348575
150,14,10146
356355,1413,5533307
81516,77,3074914
40407,149,1574015
23288,1633,1360604
402045,2922,6742766
461154,47971,38289391
2307773,71897,168546247
738796,1960,24994827
954935,28908,94900199
7004,412,457957
41945,1808,3157064
11053,1264,180651
1411,221,36310
1569,167,55539
2547,263,85191
8907,1122,170926
1678,83,141306
8738,412,53211
176829,6375,7571701
2546,173,51885
137884,4568,3068118
77110,6113,1457290
77520,1947,2213038
621,38,21164
52,11,2471
519,9,40223
1521,47,103248
1643,59,38688
9544,820,198004
98001,3626,2615459
34514,1228,1469736
239,20,4130
736,39,74253
2765,200,193604
1444,46,108383
901,53,78841
4783,184,137405
5444,684,229865
46158,2486,1142057
160983,6443,13844095
1234,44,92760
7927,603,466494
814,27,55105
4232,283,124442
10670,1189,1020154
8534,517,254621
589,17,47926
136598,4140,5231674
1314,84,100586
9062,452,200847
90491,1633,2854238
44471,1359,2853191
19895,1434,1094217
143561,8930,3854528
117286,4398,3128517
219213,5353,5423172
58,21,601
383,14,4951
915,107,47811
1294,163,42191
4187,723,83807
7385,1081,132072
3586,295,108055
5638,520,255839
184,47,1954
282,29,9401
478,137,31657
358,21,4639
4248,593,154901
1818,181,27676
1916,209,61195
91267,8050,5210940
5409,698,378563
332,32,49591
4144389,294428,425478119
4706,321,164331
4976,599,151259
1111,138,189956
8520,1146,184475
13488,1181,307938
3464,416,276221
29026,2530,425880
3227,296,281839
274209,9651,7544821
3362,441,142040
17728,1841,356678
2707,542,169562
3102,460,229928
38261,2271,2644603
2254,1032,282480
2374,310,29780
245113,28583,4876825
3216,392,62815
2839,472,228752
2330,384,25865
3908,61,174482
11148,814,425073
2949,272,38520
1194,431,34954
416,94,43591
52147,13199,2343365
472660,37391,14296001
1046404,37539,34484565
36387,1789,2530836
16445558,732818,4034122271
269,33,8064
234520,9846,14269018
193174,4232,26160434
261832,8894,8496353
33213,3070,2017263
49192,1123,2009963
99436,19837,3934199
8383,773,9826182
102993,6346,2568894
53545,17946,1711823
197069,5574,4676492
107571,3380,6123730
11474,1011,374525
51098,5463,9914057
29265,1366,2006133
237800,20092,9277945
56392,11848,3457355
20365,1223,1576038
38810,681,1837300
88325,1460,15836037
100232,1563,2313225
3984,293,293379
55521,9378,1325826
2991,291,4056267
199265,10047,4012930
-1,18676,6515548
5812,173,125307
712,101,13043
7636,238,136526
1099,132,28386
349923,4082,122994457
23574,3197,1033764
135952,2131,32300300
169669,8630,239207161
48525,2810,2158052
3823,444,212395
124675,5828,20026987
17526,2667,199416
23558,1459,587218
179,5,24650
1011,116,34941
203216,17928,10786819
19712,484,679025
57500,1562,1502125
155712,14340,7958011
82405,5855,7825074
120513,5782,4613254
14658,3373,507836
98688,1818,4271973
1265,55,53087
223844,3600,5847791
249384,9423,3593833
454863,8266,22529756
116385,8881,5132684
130176,8669,5923959
469,20,19622
19630,515,621093
59933,700,2117474
493471,10226,12382988
14566,725,270284
32009,1605,1693731
878,31,37711
16414,3694,782934
38397,780,3114396
14211,2341,409554
15576,488,427945
189,62,7487
1827,98,120365
33967,805,1187250
14030,586,544895
76431,48673,3463977
7850,124,240428
97646,2095,8339001
97,21,4976
37455,1700,2199261
16646,2556,1010630
19583,3427,1686785
22624,504,565863
17160,3193,1118396
316652,16002,5850945
52635,41229,2884100
978,178,92841
25287,993,1545582
1500,191,44809
212578,27929,10730641
2936,757,195618
15301,2516,520431
242,28,2587
52335,5602,2399810
5512,866,411015
1449,332,70483
6002,2147,305772
2644,427,127748
5762,778,132646
5400589,434688,434352213
738439,23522,66368842
96563,1586,8946712
8912,1238,164869
1542,97,39193
41389,3668,10275325
31479,5070,2468059
5471653,395657,147339243
10415,621,1045028
5424,555,293213
10380,496,1695814
47683,2407,5399988
160,10,8135
1507,86,95369
26849,1293,2666406
11595,2294,1487029
14800,1070,280369
213630,18062,9024180
16874,1248,1687706
72348,7260,3046581
702117,41105,22100487
1811,48,79531
9669,458,1008972
20363,919,708445
12009,2041,1135106
4066,174,72885
20018,726,821480
56485,10299,5464252
29974,1394,1453787
1313,138,51321
2546,173,51885
66783,4911,2040877
9165,1094,649114
144074,5273,6037721
89572,4084,4562145
15858,1995,568816
27854,1536,962507
11841,2787,482392
32884,2505,1296777
5931,469,146774
385,44,11745
2229,173,70762
29014,1356,2295412
8731,954,502221
1027,111,6640
126726,20122,2453529
56906,6168,4231789
15425,471,920846
66550,2778,2609123
3112,69,146080
3429,82,101986
3251,159,157525
24425,662,994999
275,30,9780
17610,918,956340
34870,1370,1453590
859,38,39944
3172,88,257199
62103,2458,2027462
27277,846,507103
34040,1178,1466906
47644,3556,1061608
4748,135,47619
14691,349,719270
3408,58,140607
15399,613,896227
10877,428,739507
27439,792,604827
36272,800,518790
6686,292,439103
3312,178,91932
4407,170,68989
33744,1281,1804121
1449,89,58621
4439,565,67276
32043,2960,1713463
10524,403,311071
30633,610,1707883
48535,2309,1912405
5449,533,596680
47782,3410,3330650
356,13,14593
131,3,7966
33130,1294,2792013
2459,162,72310
7530,129,646913
842,66,18837
4721,181,391796
13526,326,1048396
11675,1228,1550802
2766,224,441183
48,1,2847
1121873,23969,145167323
79639,921,10792977
515049,16568,78137822
1499298,75048,94340456
157924,2760,29657435
121553,1171,26260197
340686,8853,35695760
6626,64,401678
7786057,195769,524709805
119272,3743,26826274
23477,309,1345689
4644,63,392314
789062,14192,58921922
1430457,84188,321977550
1158,19,85052
361395,9234,50358797
17286,277,1603229
85527,1347,6055668
203103,5814,6644534
1301198,40137,98559845
1072689,37571,302125099
2122,36,164940
397142,6354,49183640
2206,30,157632
130796,4106,9493733
6366,54,302407
25,26,4454
5716,687,153064
287759,10036,4288625
57666,2683,2966344
362022,10409,11440455
1171433,61344,308501014
16578,119,1088318
26215,959,693153
232336,3681,33227408
6201,314,467835
135484,4557,5301271
153490,12872,5637132
288,8,20076
144517,4933,19210396
35503,974,1206538
74840,1286,9224408
160501,6539,46251795
394837,13938,42257995
3075,225,42648
24505,1085,426409
7364,653,100979
12928,1001,109363
125907,15131,1425150
251667,6894,7433726
28773,780,928704
319390,7746,3433953
28453,603,743338
2464,296,57850
27780,1518,960994
32006,2924,534114
2769,363,63870
430267,12839,14286302
22283,1331,613757
133987,11698,1345404
44783,1921,1198270
49530,2477,1212736
96363,6337,1484533
91777,2658,2333380
608,136,10509
153762,26601,4364168
451,85,7383
13777,585,338844
106511,2800,4502356
15082,753,310738
29921,1783,1005072
20616,879,425099
37296,1088,855392
22894,896,420420
455277,12904,9736125
127211,3593,2987298
10705,761,639089
25917,1094,608323
29615,1510,869372
3237,595,80522
100199,8790,1430388
6253,359,115655
6189,276,328489
1213,144,53965
33974,695,715895
10724,3548,186568
36776,1192,740962
4873,319,64877
1229,54,21962
804,85,14721
76217,2645,1266882
344,101,5388
1139,59,128524
467,31,36585
14787,747,296801
4855,255,75586
4296,269,78423
2945,207,58050
1804,128,24792
8534,436,138803
1808,151,36473
701,47,16243
597,71,10572
3344,142,55828
563,86,14537
2025,320,32988
1031,75,19755
1717,114,34348
4512,349,116672
454036,6622,23568994
56993,2142,1686249
34526,1668,1018753
11283,378,261713
18685,385,464557
96744,3114,4309217
311,14,10108
1362,269,43743
875,58,15786
16649,370,951514
815,43,6178
1722,124,25331
35777,1237,1228300
423,68,9245
9886,525,297290
51772,2918,1075761
703,283,8694
148120,12399,10008290
4656,296,31449
2237,221,33028
2011,130,16887
618688,13240,33779197
2786,253,26789
26419,1191,747110
17961,695,463378
61031,5037,1229745
12942,299,369997
26859,1357,904713
13542,422,619387
6160,311,146821
4686,453,59177
15150,587,319387
5577,333,121692
207,26,2985
15652,500,459455
109,16,9542
182,15,19525
83707,1717,20548194
329,29,14336
823,49,29864
227790,8698,13966109
714,14,119878
5174,238,187956
2184,3,32162
2696,18,40240
94131,920,3921128
577,46,14780
488,31,21332
2286473,86935,250793774
10402,123,1671725
16909,215,3308580
26306,331,2225959
5010,123,159448
119953,13263,1693263
4663,306,33480
10389,905,97930
9627,577,318166
242721,7745,5833454
14741,913,811965
5041,252,141779
1240,9,54917
470,6,29055
365971,34419,35490831
3001232,110160,23836066
1634,52,148482
132,19,2944
542,12,71547
106056,4284,1554691
519,11,57394
6823113,270948,915457091
1259,9,9958
152593,3290,15666598
718,5,64395
145,3,10105
304,16,16123
23546,392,2367294
7219,314,312191
731644,8894,45665114
50488,8741,1090694
12595,216,2861258
94,9,3773
112098,9775,5451348
77893,5741,3927439
31578,1904,2710713
139442,10653,7320107
48163,2178,1669551
37893,2061,1335899
121547,4043,6315803
158510,6026,8947796
146566,13664,14073219
23824,1496,805994
30033,1209,810069
9093,759,355919
103051,2343,2575482
